Measurement ID;3623
Battery name;NCR18650PF_SN002
Battery Name;NCR
Circuit;Circ006
Program;458 - Pan_5pulse_EIS_0dC
Start Time;5/22/2017 8:47:26 AM
End Time;5/30/2017 7:42:20 AM
Test section;EIS00010
Comment;0degC EIS vs SOC
OrderNo;
Producer; Panasonic
Type; NCR
Nominal Voltage; 3.7
Nominal Current; 0
Nominal Capacity; 2.9
Cells; 1
Maximum Voltage; 4.25
Gassing Voltage; 4.3
Break Voltage; 0
Charge Factor; 0
Impedance; 0
Cold Cranking Current; 15
Energy Density; 0
Comment;
Time Stamp;Step;Status;Prog Time;Step Time;Cycle;Cycle Level;Procedure;Voltage;Current;AhAccu;Energy;StartFreq;EndFreq;SetFreq;AAcMax;VAcMin;VAcMax;mvIdeal;Go;Status;U1;Zreal1;Zimg1;ActFreq;EisError;AACStart;MinIntervalTime;CountOfPeriods;UIdeal;AStart;MinDuration;MinPeriods;RemTime;VRelativ;AAmplitude;Betrag;Phase;ChamberT;ChamberSP;Temp45;
;;;;;;;;[V];[A];[Ah];[Wh];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[ChamberT];[ChamberSP];[C1];
5/24/2017 5:09:41 AM;58;EIS;34:05:47.846;00:00:21.281;2;1;Pan_5pulse_EIS_0dC;3.43636;0.00000;-2.17502;;0.00100;6000.00000;6000.00000;2.00000;-2.00000;20.00000;10.00000;1.00000;16.00000;3.43884;25.01064;7.95581;6000.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99464;0.37898;26.24552;17.64571;0.00000;0.00000;2.16318;
5/24/2017 5:09:52 AM;58;EIS;34:05:58.568;00:00:32.003;2;1;Pan_5pulse_EIS_0dC;3.43636;0.00000;-2.17502;;0.00100;6000.00000;4499.36526;2.00000;-2.00000;20.00000;10.00000;2.00000;16.00000;3.43706;24.76340;5.77868;4571.42871;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.96757;0.38050;25.42870;13.13523;0.00000;0.00000;1.95023;
5/24/2017 5:10:03 AM;58;EIS;34:06:09.326;00:00:42.761;2;1;Pan_5pulse_EIS_0dC;3.43700;0.00000;-2.17502;;0.00100;6000.00000;3374.04795;2.00000;-2.00000;20.00000;10.00000;3.00000;16.00000;3.43841;24.68275;3.82548;3428.57153;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.98119;0.39283;24.97744;8.80995;0.00000;0.00000;2.15198;
5/24/2017 5:10:14 AM;58;EIS;34:06:20.100;00:00:53.535;2;1;Pan_5pulse_EIS_0dC;3.43700;0.00000;-2.17502;;0.00100;6000.00000;2530.17902;2.00000;-2.00000;20.00000;10.00000;4.00000;16.00000;3.43846;24.78957;2.09588;2526.31567;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99527;0.40006;24.87801;4.83269;0.00000;0.00000;1.95023;
5/24/2017 5:10:24 AM;58;EIS;34:06:30.846;00:01:04.281;2;1;Pan_5pulse_EIS_0dC;3.43700;0.00000;-2.17502;;0.00100;6000.00000;1897.36660;2.00000;-2.00000;20.00000;10.00000;5.00000;16.00000;3.44121;25.05179;0.72517;1882.35291;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00704;0.40181;25.06228;1.65806;0.00000;0.00000;2.15198;
5/24/2017 5:10:35 AM;58;EIS;34:06:41.613;00:01:15.048;2;1;Pan_5pulse_EIS_0dC;3.43700;0.00000;-2.17502;;0.00100;6000.00000;1422.82422;2.00000;-2.00000;20.00000;10.00000;6.00000;16.00000;3.43965;25.40850;-0.33492;1432.83582;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01363;0.39890;25.41071;-0.75520;0.00000;0.00000;2.15198;
5/24/2017 5:10:46 AM;58;EIS;34:06:52.543;00:01:25.978;2;1;Pan_5pulse_EIS_0dC;3.43700;0.00000;-2.17502;;0.00100;6000.00000;1066.96765;2.00000;-2.00000;20.00000;10.00000;7.00000;16.00000;3.43664;25.89110;-1.29747;1066.66663;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01999;0.39346;25.92359;-2.86883;0.00000;0.00000;1.95023;
5/24/2017 5:10:57 AM;58;EIS;34:07:03.485;00:01:36.920;2;1;Pan_5pulse_EIS_0dC;3.43700;0.00000;-2.17502;;0.00100;6000.00000;800.11286;2.00000;-2.00000;20.00000;10.00000;8.00000;16.00000;3.44254;26.44963;-2.09695;800.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02342;0.38572;26.53262;-4.53298;0.00000;0.00000;1.95023;
5/24/2017 5:11:08 AM;58;EIS;34:07:14.530;00:01:47.965;2;1;Pan_5pulse_EIS_0dC;3.43700;0.00000;-2.17502;;0.00100;6000.00000;600.00000;2.00000;-2.00000;20.00000;10.00000;9.00000;16.00000;3.43038;27.08286;-2.79433;600.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02609;0.37687;27.22663;-5.89076;0.00000;0.00000;2.15198;
5/24/2017 5:11:19 AM;58;EIS;34:07:25.844;00:01:59.279;2;1;Pan_5pulse_EIS_0dC;3.43700;0.00000;-2.17502;;0.00100;6000.00000;449.93653;2.00000;-2.00000;20.00000;10.00000;10.00000;16.00000;3.43877;27.78742;-3.41030;450.70422;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02806;0.36722;27.99591;-6.99683;0.00000;0.00000;2.15198;
5/24/2017 5:11:31 AM;58;EIS;34:07:37.354;00:02:10.789;2;1;Pan_5pulse_EIS_0dC;3.43700;0.00000;-2.17502;;0.00100;6000.00000;337.40480;2.00000;-2.00000;20.00000;10.00000;11.00000;16.00000;3.44770;28.58198;-3.97851;336.84210;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03072;0.35717;28.85755;-7.92445;0.00000;0.00000;1.93902;
5/24/2017 5:11:43 AM;58;EIS;34:07:49.138;00:02:22.573;2;1;Pan_5pulse_EIS_0dC;3.43700;0.00000;-2.17502;;0.00100;6000.00000;253.01790;2.00000;-2.00000;20.00000;10.00000;12.00000;16.00000;3.43887;29.43385;-4.49376;253.29816;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03156;0.34645;29.77491;-8.68050;0.00000;0.00000;1.95023;
5/24/2017 5:11:55 AM;58;EIS;34:08:01.451;00:02:34.886;2;1;Pan_5pulse_EIS_0dC;3.43700;0.00000;-2.17502;;0.00100;6000.00000;189.73666;2.00000;-2.00000;20.00000;10.00000;13.00000;16.00000;3.42901;30.36423;-4.97775;189.72333;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03424;0.33613;30.76954;-9.30995;0.00000;0.00000;1.95023;
5/24/2017 5:12:07 AM;58;EIS;34:08:13.185;00:02:46.620;2;1;Pan_5pulse_EIS_0dC;3.43700;0.00000;-2.17502;;0.00100;6000.00000;142.28242;2.00000;-2.00000;20.00000;10.00000;14.00000;16.00000;3.42898;31.35123;-5.43552;142.43323;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03354;0.32482;31.81893;-9.83587;0.00000;0.00000;1.93902;
5/24/2017 5:12:19 AM;58;EIS;34:08:25.172;00:02:58.607;2;1;Pan_5pulse_EIS_0dC;3.43700;0.00000;-2.17502;;0.00100;6000.00000;106.69676;2.00000;-2.00000;20.00000;10.00000;15.00000;16.00000;3.44473;32.40396;-5.87634;106.66666;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03470;0.31419;32.93248;-10.27868;0.00000;0.00000;2.15198;
5/24/2017 5:12:30 AM;58;EIS;34:08:36.691;00:03:10.126;2;1;Pan_5pulse_EIS_0dC;3.43700;0.00000;-2.17502;;0.00100;6000.00000;80.01129;2.00000;-2.00000;20.00000;10.00000;16.00000;16.00000;3.43111;33.50944;-6.31832;80.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03470;0.30369;34.09991;-10.67795;0.00000;0.00000;2.16318;
5/24/2017 5:12:42 AM;58;EIS;34:08:48.568;00:03:22.003;2;1;Pan_5pulse_EIS_0dC;3.43700;0.00000;-2.17502;;0.00100;6000.00000;60.00000;2.00000;-2.00000;20.00000;10.00000;17.00000;16.00000;3.43911;34.66320;-6.78163;60.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03620;0.29337;35.32037;-11.06973;0.00000;0.00000;2.15198;
5/24/2017 5:12:53 AM;58;EIS;34:08:59.987;00:03:33.422;2;1;Pan_5pulse_EIS_0dC;3.43700;0.00000;-2.17502;;0.00100;6000.00000;44.99365;2.00000;-2.00000;20.00000;10.00000;18.00000;16.00000;3.42888;35.90333;-7.27537;44.94382;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03711;0.28311;36.63305;-11.45518;0.00000;0.00000;2.15198;
5/24/2017 5:13:05 AM;58;EIS;34:09:11.734;00:03:45.169;2;1;Pan_5pulse_EIS_0dC;3.43765;0.00000;-2.17502;;0.00100;6000.00000;33.74048;2.00000;-2.00000;20.00000;10.00000;19.00000;16.00000;3.43921;37.22491;-7.80546;33.70787;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03792;0.27289;38.03445;-11.84242;0.00000;0.00000;2.15198;
5/24/2017 5:13:17 AM;58;EIS;34:09:23.834;00:03:57.269;2;1;Pan_5pulse_EIS_0dC;3.43765;0.00000;-2.17502;;0.00100;6000.00000;25.30179;2.00000;-2.00000;20.00000;10.00000;20.00000;16.00000;3.44581;38.63597;-8.36001;25.31646;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03883;0.26280;39.53009;-12.20937;0.00000;0.00000;2.16318;
5/24/2017 5:13:29 AM;58;EIS;34:09:35.351;00:04:08.786;2;1;Pan_5pulse_EIS_0dC;3.43765;0.00000;-2.17502;;0.00100;6000.00000;18.97367;2.00000;-2.00000;20.00000;10.00000;21.00000;16.00000;3.44604;40.14537;-8.93325;18.98734;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04120;0.25317;41.12728;-12.54521;0.00000;0.00000;2.15198;
5/24/2017 5:13:41 AM;58;EIS;34:09:47.337;00:04:20.772;2;1;Pan_5pulse_EIS_0dC;3.43765;0.00000;-2.17502;;0.00100;6000.00000;14.22824;2.00000;-2.00000;20.00000;10.00000;22.00000;16.00000;3.43381;41.73424;-9.52957;14.21801;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04120;0.24309;42.80840;-12.86236;0.00000;0.00000;1.95023;
5/24/2017 5:13:52 AM;58;EIS;34:09:58.840;00:04:32.275;2;1;Pan_5pulse_EIS_0dC;3.43765;0.00000;-2.17502;;0.00100;6000.00000;10.66968;2.00000;-2.00000;20.00000;10.00000;23.00000;16.00000;3.44972;43.35800;-10.15227;10.67616;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04038;0.23363;44.53071;-13.17838;0.00000;0.00000;1.93902;
5/24/2017 5:14:04 AM;58;EIS;34:10:10.665;00:04:44.100;2;1;Pan_5pulse_EIS_0dC;3.43765;0.00000;-2.17502;;0.00100;6000.00000;8.00113;2.00000;-2.00000;20.00000;10.00000;24.00000;16.00000;3.44688;44.99905;-10.88010;8.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03993;0.22463;46.29569;-13.59241;0.00000;0.00000;2.16318;
5/24/2017 5:14:16 AM;58;EIS;34:10:22.931;00:04:56.366;2;1;Pan_5pulse_EIS_0dC;3.43765;0.00000;-2.17502;;0.00100;6000.00000;6.00000;2.00000;-2.00000;20.00000;10.00000;25.00000;16.00000;3.43947;46.58711;-11.76787;6.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03751;0.21592;48.05041;-14.17632;0.00000;0.00000;2.16318;
5/24/2017 5:14:28 AM;58;EIS;34:10:34.505;00:05:07.940;2;1;Pan_5pulse_EIS_0dC;3.43765;0.00000;-2.17502;;0.00100;6000.00000;4.49937;2.00000;-2.00000;20.00000;10.00000;26.00000;16.00000;3.44455;48.19174;-12.95161;4.50450;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03882;0.20817;49.90179;-15.04289;0.00000;0.00000;2.16318;
5/24/2017 5:14:40 AM;58;EIS;34:10:46.585;00:05:20.020;2;1;Pan_5pulse_EIS_0dC;3.43765;0.00000;-2.17502;;0.00100;6000.00000;3.37405;2.00000;-2.00000;20.00000;10.00000;27.00000;16.00000;3.44327;49.90916;-14.56914;3.37079;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04193;0.20040;51.99215;-16.27322;0.00000;0.00000;1.95023;
5/24/2017 5:14:52 AM;58;EIS;34:10:58.005;00:05:31.440;2;1;Pan_5pulse_EIS_0dC;3.43765;0.00000;-2.17502;;0.00100;6000.00000;2.53018;2.00000;-2.00000;20.00000;10.00000;28.00000;16.00000;3.44585;51.81509;-16.69646;2.53378;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04692;0.19231;54.43873;-17.86059;0.00000;0.00000;2.15198;
5/24/2017 5:15:03 AM;58;EIS;34:11:09.943;00:05:43.378;2;1;Pan_5pulse_EIS_0dC;3.43765;0.00000;-2.17502;;0.00100;6000.00000;1.89737;2.00000;-2.00000;20.00000;10.00000;29.00000;16.00000;3.43937;54.04830;-19.42671;1.89873;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.05514;0.18371;57.43358;-19.77008;0.00000;0.00000;2.15198;
5/24/2017 5:15:15 AM;58;EIS;34:11:21.279;00:05:54.714;2;1;Pan_5pulse_EIS_0dC;3.43765;0.00000;-2.17502;;0.00100;6000.00000;1.42282;2.00000;-2.00000;20.00000;10.00000;30.00000;16.00000;3.43906;56.83894;-22.86795;1.42045;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.06670;0.17411;61.26670;-21.91635;0.00000;0.00000;2.15198;
5/24/2017 5:15:27 AM;58;EIS;34:11:33.385;00:06:06.820;2;1;Pan_5pulse_EIS_0dC;3.43765;0.00000;-2.17502;;0.00100;6000.00000;1.06697;2.00000;-2.00000;20.00000;10.00000;31.00000;16.00000;3.43923;60.45456;-26.89715;1.06838;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.07995;0.16321;66.16805;-23.98501;0.00000;0.00000;2.15198;
5/24/2017 5:15:39 AM;58;EIS;34:11:45.532;00:06:18.967;2;1;Pan_5pulse_EIS_0dC;3.43765;0.00000;-2.17502;;0.00100;6000.00000;0.80011;2.00000;-2.00000;20.00000;10.00000;32.00000;16.00000;3.42978;65.13000;-31.46720;0.79957;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.09300;0.15111;72.33326;-25.78725;0.00000;0.00000;2.15198;
5/24/2017 5:15:51 AM;58;EIS;34:11:57.197;00:06:30.632;2;1;Pan_5pulse_EIS_0dC;3.43765;0.00000;-2.17502;;0.00100;6000.00000;0.60000;2.00000;-2.00000;20.00000;10.00000;33.00000;16.00000;3.42929;71.05137;-36.22707;0.59904;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.10221;0.13820;79.75399;-27.01574;0.00000;0.00000;1.95023;
5/24/2017 5:16:02 AM;58;EIS;34:12:07.996;00:06:41.431;2;1;Pan_5pulse_EIS_0dC;3.43765;0.00000;-2.17502;;0.00100;6000.00000;0.44994;2.00000;-2.00000;20.00000;10.00000;34.00000;16.00000;3.43919;78.20231;-40.60369;0.44964;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.10535;0.12544;88.11504;-27.43895;0.00000;0.00000;1.95023;
5/24/2017 5:16:12 AM;58;EIS;34:12:18.576;00:06:52.011;2;1;Pan_5pulse_EIS_0dC;3.43700;0.00000;-2.17502;;0.00100;6000.00000;0.33740;2.00000;-2.00000;20.00000;10.00000;35.00000;16.00000;3.43097;86.52645;-44.01156;0.33723;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.10144;0.11346;97.07649;-26.96010;0.00000;0.00000;1.93902;
